resumption of the session	reanudación del período de sesiones
mr president , mrs roth-behrendt expressed very many of my own thoughts .	señor presidente , la sra . roth behrendt expresó muchas de mis ideas .
we have now obtained a first-rate enumeration of a variety of measures .	estamos ante una lista perfecta de medidas .
but how do we make use of the sense of crisis to which this ecological disaster has led ?	pero , ¿cómo usamos la conciencia de crisis que nos ha despertado esta catástrofe ecológica ?
i would compare the situation with an earlier generation ' s introduction of the plimsoll line , a marking which	hago la comparación con la marca de plimsoll , que era un indicador que establecieron las generaciones anteriores para evitar
where is the sense of crisis which generations before us had ?	¿dónde está esa conciencia de crisis que tenían las generaciones que nos precedieron ?
i consider that what we should adopt is the form of certification that mrs roth-behrendt speaks about , the identification	creo que hay que tratar de obtener la homologación a la que se refería roth behrendt , esos distintivos verdes
we must also critically examine the classification societies .	además , tenemos que hacer un examen crítico de las sociedades de clasificación .
i do not think that we can accept their procedures .	creo que no debemos aceptar sus procedimientos .
we need independent procedures and procedures involving public control .	necesitamos procedimientos independientes y con transparencia .
finally , i want to say that , when my country provides environmental aid to shipowners who wish to improve	finalmente , quiero decir que cuando mi país otorga ayudas medioambientales a los armadores que quieren mejorar la calidad del
within the commission , the one hand does not know what the other hand is doing .	en la comisión no sabe una mano lo que hace la otra .
it is not an acceptable procedure that measures to improve the environment , which are in keeping with the commission	no es aceptable un procedimiento en el que no se puedan tomar medidas para mejorar el medio ambiente , cosa
mr president , we shall vote in favour of the gue/ngl group resolution because it denounces total-fina ' s responsibility	señor presidente , vamos a votar a favor de la resolución del grupo gue/ngl , porque denuncia la responsabilidad de
i shall only add that it would be the least that total could do to compensate for the direct and	tan sólo añadiré que lo mínimo sería que total financiara íntegramente la reparación de los daños directos e indirectos causados
how can we stop similar disasters occurring in future if we do not institute draconian measures against the major oil	¿cómo vamos a impedir que se reproduzcan catástrofes semejantes sin imponer medidas draconianas contra los grandes trusts del petróleo ,
how is it possible not to be outraged when a bank refuses to divulge the names of the erika '	¿cómo no indignarse cuando un banco se niega a revelar el nombre de los propietarios del erika , invocando el
the crux of the problem is that all governments , and indeed all the european institutions , acknowledge the right	el fondo del problema es que todos los gobiernos , como todas las instituciones europeas , reconocen a los grandes
they accept the professional confidentiality of business and banks , even though this same confidentiality serves to conceal what are	reconocen a las empresas y a los bancos el secreto de los negocios , aun cuando dicho secreto proteja actos
in these circumstances , even the best resolutions will remain little more than appeals to principle which are powerless to	en esas condiciones , incluso las mejores resoluciones seguirán siendo peticiones de principio impotentes para impedir que los grandes trusts
mr president , i am in favour of tightening up the legislation on port state control and on classification societies	señor presidente , estimadas y estimados colegas , yo estoy a favor del endurecimiento de las normas relativas a las
however , we must stick to the facts .	sin embargo , también debemos atenernos a los hechos .
the ship erika has been investigated four times in the course of the last two years .	el erika fue inspeccionado cuatro veces en los últimos dos años .
the answer can not lie in the number of investigations but rather in guaranteeing the rigour with which the controls	el número de inspecciones no puede ser lo determinante ; es mucho más importante garantizar la intensidad de los controles
i have heard in the course of the discussions that have taken place in the last few weeks that the	en los debates de la semana pasada , oí decir que los estados miembros no tienen dinero para financiar los
i can not accept this .	esto me parece inaceptable .
if the member states decide , in agreement with ourselves , that 25 % of ships are to be monitored	si los estados miembros deciden conjuntamente con nosotros que un 25 % de los buques serán controlados mediante inspecciones realizadas
the controls must also be carried out in such a way that the inspector does not just go on board	y los controles no deben consistir en que el inspector se limite a subir a bordo y comprobar que no
this can only be detected if controls undertaken are more rigorous .	esto sólo se puede comprobar si se realizan controles más intensos .
it should be our goal to ensure that port state controls are not superficial , but include materials testing .	nuestro objetivo debería ser garantizar que los controles de los estados portuarios no sean superficiales , sino que incluyan los
secondly , i also share the commissioner ' s observations and would like to encourage her to continue down this	en segundo lugar , yo también comparto las insinuaciones que ha apuntado la sra . comisaria y quisiera alentarla a
if it should become apparent that one or more classification companies have provided reports by way of favours then they	si se demostrase que una o varias sociedades de clasificación han concedido certificados de conveniencia , habrá que suprimirlas de
that is the only deterrent we have for preventing other classification companies from following suit .	es la única medida disuasoria posible para evitar que otras también concedan certificados de conveniencia .
mrs roth-behrendt , we already have a tüv ( organisation for safety testing ) for ships in the form of	apreciada colega roth-behrendt , ya tenemos una itv para los buques . ¡las sociedades de clasificación son la itv de
there are reputable companies too .	también las hay que funcionan bien .
you will be familiar with some reputable companies , our french fellow meps will be familiar with some reputable companies	usted conoce algunas que funcionan bien , nuestros colegas franceses conocen algunas que funcionan bien , pero tenemos que comprobar
finally , we should make it quite plain to malta that if it wants to become a member of this	finalmente , deberíamos decirle con toda claridad a malta que si desea llegar a ser miembro de esta comunidad ,
mr president , commissioner , the erika sank near my home and is still there , with 20 000 tonnes	señor presidente , señora comisaria , el erika se hundió delante de mi casa y allí sigue , con 20.000
it could have sunk anywhere .	habría podido hundirse en otra parte .
it happened to sink there , and brittany , where i come from , should not apologise for the fact	se hundió allí , por azar , y bretaña , de la que yo procedo , no tiene que excusarse
my first thoughts are for the 26 indian sailors , who were saved but of whom nothing has been said	pienso en primer lugar en los 26 marineros indios , de los que no se habla y que fueron salvados
there could have been deaths in this disaster and safety at sea means , above all , men ' s	podría haber habido muertos en aquella catástrofe y la seguridad marina significa en primer lugar la vida de los hombres
by now they are far away .	hoy están lejos .
it is a miracle that they were saved .	es un milagro que se salvaran .
so we are now experiencing the same thing that happened 20 years ago with the amoco cadiz ; a wreck	conque vuelta a empezar como hace veinte años con el amoco , un golpe en la costa septentrional , otro
things could well continue in the same way .	y así puede continuar .
commissioner , as time is very short , i would like to pick out the seven points which we feel	quisiera , señora comisaria , desgranarle rápidamente , ya que aquí el tiempo está muy racionado , los siete puntos
then , sanctions must be harmonised between the 15 member states ; they should not be different , but the	es necesario , en particular , que las sociedades de clasificación tengan la obligación de hacer públicos sus informes ,
we must be tougher on vessels flying flags of convenience , not because they are necessarily bad boats , but	además , la armonización de las sanciones entre los quince estados miembros ; no deben ser diferentes , sino las
we must improve information on all of the world ' s ships , but provision has already been made for	hay que endurecer los pabellones de conveniencia , no porque sean forzosamente barcos malos , sino porque hay muchos barcos
with regard to this matter , i would like to know who owns the erika , because the idea of	a ese respecto , me gustaría saber quién es el propietario del erika , pues una cosa es el concepto
perhaps they are in lovely villas by lovely beaches , getting a nice tan .	tal vez en hermosas quintas delante de hermosas playas dorándose al sol .
we would like to know their names and their faces .	nos gustaría conocer sus nombres y sus rostros .
finally , there must be improvements in the training of crews .	y , por último , la mejora de la formación de las tripulaciones .
in our society there is no such thing as zero-risk , but we must at least ensure the greatest possible	en nuestra sociedad no hay riesgo cero y debe haber al menos una precaución máxima .
mr president , i welcome the statement from the commissioner .	señor presidente , acojo con beneplácito la declaración de la comisaria .
having spent a lot of time at sea myself i am well aware of the sea 's power and destructive	como yo mismo he pasado mucho tiempo en el mar , conozco perfectamente el poder y la fuerza destructiva del
i would like to express my sympathy with all those who are dealing with the consequences of the breaking up	quisiera expresar mi condolencia a todos cuantos están afrontando las consecuencias de la rotura y el hundimiento del buque-cisterna erika
this has been an environmental disaster as well as a deplorable waste of resources .	ha sido un desastre medioambiental y un deplorable desperdicio de recursos .
it should be noted that the oil industry , through the international oil pollution compensation funds , regards itself as	conviene observar que la industria petrolera , mediante los fondos internacionales de compensación de la contaminación por petróleo , se
however , before we rush in with a whole raft of new measures and new regulations , let us look	sin embargo , antes de apresurarnos a presentar un montón de nuevas medidas y nuevos reglamentos , debemos examinar detenidamente
better to heed calls to amend and improve existing legislation than to embark on new proposals .	es mejor hacer caso a las peticiones de modificación y mejora de la legislación vigente que lanzarse a formular nuevas
in that context i support calls to strengthen port state control to ensure full and effective inspection .	en ese marco apoyo las peticiones de que fortalezca el control del estado del puerto para garantizar una inspección plena
i support calls to ensure that the classification societies effectively monitor vessels ' structural conditions and are held accountable for	apoyo las peticiones de que las sociedades de clasificación supervisen eficazmente las condiciones estructurales de los buques y se las
calls for design improvements in hull construction , especially double-hulled vessels , are sensible but take time to be implemented	las peticiones de mejoras en el diseño de los cascos , en particular la de que los buques lleven doble
they are no substitute for rigorous regular inspection .	no pueden substituir una inspección periódica y rigurosa .
mr president , i would like to thank my socialist colleagues , mainly in the committees on transport and the	señor presidente , quisiera agradecer a mis compañeros socialistas , fundamentalmente de las comisiones de transportes y de medio ambiente
because , as well as the irreparable damage to the environment , the damage to the ecosystem and losses in	porque , además de los daños irreparables para el medio ambiente , de los daños al ecosistema y de las
it is no accident , commissioner , that the affected areas are always those european regions which are least developed	no es una casualidad , señora comisaria , que las zonas afectadas sean siempre aquellas regiones europeas con retrasos de
these are the same areas , commissioner , which already have to put up with the disrespectful activities of certain	son las mismas , señora comisaria , que ya soportan durante todo el año prácticas desaprensivas de ciertos armadores que
i come from a region , galicia , which has suffered similar accidents in the past .	procedo de una región , galicia , que ha sufrido en el pasado accidentes similares .
brittany and galicia , two european 'lands ends ' , fall constant prey to the irresponsibility of those who prefer	bretaña y galicia , los dos finisterres europeos , son víctimas permanentes de la irresponsabilidad de quienes prefieren incumplir las
i therefore believe that it is necessary to act in two ways .	por eso , creo que es necesario actuar en dos sentidos .
on the one hand , by asking the commission , within the scope of aid to the fishing industry ,	de una parte , pidiendo a la comisión que , dentro de las ayudas previstas para el sector pesquero ,
in this regard , the current process of negotiations on malta ' s accession to the european union must be	en este sentido , el actual proceso de negociación para la adhesión de malta a la unión europea debe servir
on the other hand , prevention is essential .	por otra parte , es necesario prevenir .
portugal is a country which has clearly demonstrated its sensitivity to issues relating to the sea .	portugal es un país que ha demostrado sobradamente su sensibilidad hacia los temas relacionados con el mar .
i would ask the portuguese presidency to study the possibility of implementing a complete strategy for the prevention of maritime	yo pediría a la presidencia portuguesa que estudiase la posibilidad de poner en marcha una estrategia integral de prevención de
lastly , mr president , i would like to highlight the work carried out by the volunteers and local authorities	quiero , por último , señor presidente , resaltar el trabajo realizado por los voluntarios y las autoridades locales ,
we must thank those who , while defenceless and lacking in resources , have battled courageously against the grave effects	es necesario agradecer a quienes , desde la indefensión y la falta de medios , han luchado con coraje contra
mr president , as chairman of the committee on regional policy , transport and tourism , i should like to	señor presidente , en mi condición de presidente de la comisión de política regional , transportes y turismo , quisiera
we , as the committee on transport , are prepared to discuss the commission communication on the question of safety	en la comisión de transportes , debo decir , estamos preparados para debatir la comunicación de la comisión sobre la
in addition , i should like to make a number of comments :	dicho esto , quisiera hacer algunas observaciones :
first , the commission was right to concentrate its investigation on the liability of rina , the italian shipping register	primero , la comisión ha hecho bien en centrar su investigación en las responsabilidades de la sociedad italiana de clasificación
that should be the starting point for our efforts .	por ahí debe comenzar nuestro esfuerzo .
secondly , apart from the shipowners ' liability , it would be a good idea in such cases to examine	segundo , además de las responsabilidades de los armadores , bueno será que en casos como éste depuremos también las
once we have done that , our reaction to the ecological disaster is fully justified .	a partir de ahí , la reacción ante el desastre ecológico está totalmente justificada .
however , this should not lead us to accuse the whole merchant marine , which is an important sector of	no deberá , sin embargo , conducirnos a la culpabilización del conjunto de la marina mercante , que es un
i have no objection to examining an amendment making community law stricter but , as other members have stressed ,	no soy en absoluto contrario a estudiar la modificación del derecho comunitario en el sentido de hacerlo más severo ,
this legal framework is fairly advanced , at least if you compare it with what is happening at worldwide level	se trata de un marco jurídico bastante avanzado -al menos si se compara con lo que ocurre en el resto
mr president , commissioner , i believe that the unfortunate incident involving the erika should in fact , as others	señor presidente , señora comisaria , creo que el lamentable incidente del erika debería , en efecto , como se
the economic and social damage , which we have spoken about today , in terms of the loss of jobs	los daños sociales y económicos , de los que ya se ha hablado aquí hoy , en términos tanto de
commissioner , i would also like to thank you for the speedy response of your department to this event and	yo también , señora comisaria , quisiera agradecerle la rápida respuesta de su departamento a este incidente y las medidas
i trust that these measures will , in a few months , give rise to a clear and convincing legal	y confío en que estas medidas den lugar , en pocos meses , a un instrumento legal claro y contundente
i would like to comment on one of the measures to be taken , which was mentioned by the commissioner	quisiera hacer una observación , al hilo de una de las medidas a tomar mencionadas por la comisaria y por
i am referring to the double hull , which consists of two layers of steel , with containers divided into	me refiero al doble casco , que consiste en una doble capa de acero , estando los depósitos divididos en
commissioner , there are many experts who consider that the double hull is not sufficiently safe and propose the so-called	señora comisaria , hay muchos expertos que consideran que el doble casco no es suficientemente seguro y proponen el llamado
commissioner , i believe that it is time to opt for the safest technically possible measures .	creo , señora comisaria , que es el momento de apostar por las medidas más seguras técnicamente posibles .
it is therefore not sufficient to merely reproduce the legislation in force in other countries .	en este sentido , creo que limitarnos a reproducir una legislación vigente en otros países no es suficiente .
i believe that we can and must improve the existing legislation in this regard .	creo que podemos y debemos mejorar la legislación existente al respecto .
any cost-benefit analysis which truly takes into account all the harm occasioned to persons and the environment by these accidents	cualquier análisis coste-beneficio , que contabilice realmente todo el daño a las personas y al medio ambiente de estos accidentes
mr president , commissioner , i think that first we should all congratulate ourselves on the procedure that has been	señor presidente , señora comisaria , señorías , quisiera en primer lugar que nos felicitáramos todos del procedimiento seleccionado y
i think that given the dramatic circumstances , and as a matter of principle , it would be ill-advised and	creo que , en semejantes circunstancias dramáticas , no se entendería y resultaría indecente , en el plano de los
on the other hand , parliament is issuing a resolution in one vote , for which we can see the	por otra parte , el hecho de que el parlamento emita hoy con una sola voz una resolución , respecto
i think that it is quite obvious , and this is the first conclusion that can be drawn from the	creo que está muy claro -y ésta es la primera conclusión que podríamos sacar de la catástrofe del erika- que
public opinion would find it hard to understand that we talk about a common judicial area , common airspace ,	la opinión pública no entendería que se hable de espacio judicial común , que se hable de espacio aéreo común
the commissioner has suggested three main chapters which need to be drafted and brought into line with our legislation ,	la comisaria nos ha indicado los tres grandes capítulos por elaborar : nivelación de nuestra legislación , con la que
i have also noted , to my great satisfaction , that even the groups advocating greater national sovereignty , or	por lo demás , he observado con gran satisfacción que incluso los grupos soberanistas o euroescépticos piden que europa reglamente
we sometimes regulate things which could , by and large , remain subsidiary .	a veces , reglamentamos cosas que podrían ser en gran medida subsidiarias .
in this area we must respond to public opinion .	en esa esfera debemos dar una respuesta a las opiniones públicas .
this is extremely important and everyone should feel concerned because we are , when all is said and done ,	es muy importante y todo el mundo debe sentirse incumbido , pues , al fin y al cabo , somos
therefore , once our legislation has been brought into line , we must follow this up immediately with appropriate law	así , pues , es necesario que haya un derecho de continuidad , después de la nivelación de nuestra legislación
i have almost finished and i would like to say that i have personally requested a public hearing of the	voy a concluir y quisiera decir que , personalmente , he solicitado una audición pública de la comisión de transportes
i hope that all political groups will support us in our request for a public hearing .	espero que todos los grupos políticos quieran apoyarnos en esta petición de audición pública .
mr president , the oil tanker erika , the ownership of which is veiled by accommodation addresses on malta and	presidente , el petrolero erika , cuya propiedad queda difusa por empresas de apartados de correos en malta y tal
the implications for the environment and for the flora and fauna of the european maritime environment are enormous .	las consecuencias para el medio ambiente , la flora y fauna del entorno marítimo europeo son enormes .
the cause of the disaster must be sought in the weakened structure of the oil tanker .	habrá que buscar la causa de la catástrofe en la estructura debilitada del petrolero .
so people are doubtful about the safety of ships which carry dangerous or polluting goods .	o sea , hay la gente duda de la seguridad de los barcos que transportan mercancías peligrosas o contaminantes .
the international maritime organisation has issued international rules in this connection .	la organización marítima internacional ha instaurado una regulación internacional para ello .
states can carry out port inspections .	los estados pueden realizar inspecciones en el puerto .
in europe , legislation is stricter and it is compulsory to inspect 25 % of the incoming vessels according to	en europa la regulación es más estricta hay una obligación de controlar el 25 % de los barcos entrantes según
however , it seems that none of the member states meets this figure due to a lack of inspectors .	no obstante , parece que en ningún estado miembro se alcanza este porcentaje por la falta de inspectores .
it is clear that there is no lack of legislation .	está claro que no hay falta de regulación .
in my opinion , the commissioner is quite right .	me parece que la comisaria tiene toda la razón al respecto .
where the scheme falters is in the enforcement of existing legislation .	donde falla es en el control de la regulación existente .
but how are we now going to enforce this if there is indeed a lack of inspectors , esteemed european	pero estimada comisión , ¿cómo vamos a hacerlo si hay efectivamente una falta de inspectores ?
can the commission provide an assurance that directive 93/75 concerning minimum requirements for vessels bound for or leaving community ports	¿la comisión puede asegurarnos que se aplique correctamente la directiva 93/75 respecto a los requisitos mínimos para barcos que abandonan
should its implementation not be more strictly monitored ?	¿no se debería intensificar el control de esta aplicación ?
would it not be beneficial , in the short term , following the rotterdam model , to inspect according to	¿no sería recomendable que se empezara a corto plazo a controlar según un sistema de puntos , siguiendo el ejemplo
in short , to give priority to older sub-standard ships over ships which meet all quality requirements .	dicho de otra forma , hay que dar mayor prioridad al control de barcos más antiguos de categorías inferiores que
the erika was built at a japanese shipyard and is single-hulled .	el erika fue construido en un astillero japonés y es de casco sencillo .
there are four more sister ships in service at present .	hay todavía cuatro buques gemelos que navegan en este momento .
construction of this type of ship was halted at the time because the risk of rusting was especially high .	pararon entonces la construcción porque el peligro de corrosión en este tipo de barco fue mayor de lo normal .
some of them also sail under the maltese flag .	algunos de ellos navegan bajo bandera maltesa .
are we waiting for the next accident to happen ?	¿esperamos a la siguiente catástrofe ?
would sanctions not be appropriate , as the commissioner stated , for the classification society ?	¿no debería haber sanciones , como ha dicho la comisaria , para la `` classification society '' ?
rina is currently the talk of the town .	la sociedad rina está ahora en entredicho .
malta is entering the accession negotiations .	malta va a empezar con las negociaciones de ingreso .
in my opinion , the european union can only accept malta if it is guaranteed that the maltese flag will	creo que la unión europea sólo puede admitir a malta si se garantiza que la bandera maltesa navegará de ahora
i would be grateful if you could be disciplined since we are running out of time , and this delay	señorías , yo les agradecería que se disciplinaran porque nos estamos retrasando , y este retraso va a incidir negativamente
mr president , just before i went down into the chamber , i received an e-mail with a quite emotional	señor presidente , instantes antes de bajar a la asamblea , recibí un mensaje por el correo electrónico que contenía
like many other hundreds of volunteers , she had seen the destruction , washed birds and cleaned up after the	igual que centenares de voluntarios , ella ha visto la destrucción , ha lavado pájaros y ha limpiado , ya
like so many others , i too wonder where the people responsible are .	me pregunto , igual que tanta gente , dónde están los responsables .
where are the shipowners and those who order the shipments when these disasters occur ?	¿dónde están los navieros y los que han encargado los transportes cuando ocurren estas catástrofes ?
perhaps it might be time for us to begin to consider establishing a common environmental authority which could deal with	quizá haya llegado el momento de empezar a pensar en constituir una autoridad común para combatir los delitos medioambientales ,
this is not the first time we have seen oil slicks , whether intentional or unintentional .	no es la primera vez que vemos vertidos de petróleo , con o sin intención .
( the president cut the speaker off )	( la oradora es interrumpida por el presidente )
i would like to thank mrs grossetête and her colleagues for bringing this motion before parliament .	quisiera agradecer a la sra . grossetête y a sus colegas la presentación de esta propuesta en el parlamento .
the environmental disaster of the sinking of the erika off brittany and the spillage of 10 000 tonnes of oil	los medios de comunicación británicos han informado ampliamente sobre el desastre medioambiental del hundimiento del erika ante las costas de
although britain and france have had their differences recently , i can assure you that there is considerable sympathy in	aunque gran bretaña y francia han tenido diferencias recientemente , puedo asegurar a sus señorías que existe considerable solidaridad en
tv pictures of the damage done to your coastline and wildlife , in particular birds and the already dwindling fish	las imágenes televisivas de los daños causados a las costas y la fauna y la flora del país de sus
i salute these joint efforts to repair the damage .	acojo con satisfacción esas actuaciones conjuntas para reparar los daños .
this is clearly a problem for all eu coastlines which will require imaginative solutions .	se trata claramente de un problema para todas las costas , que requiere soluciones imaginativas .
instead of allowing the costs of these disasters to fall on the communities most affected and insurance markets such as	en lugar de permitir que los costos de esos desastres recaigan sobre las comunidades más afectadas y mercados de seguros
there is currently little financial incentive for this when the insurance market picks up the tab .	actualmente , existen pocos incentivos financieros para ello , cuando el mercado de seguros carga con los gastos .
ultimately , the polluter must pay .	en última instancia , el que contamina debe pagar .
in addition we must build on the council directive dealing with enforcement of international standards for ship safety and pollution	además , debemos preparar una directiva del consejo que aborde la imposición del cumplimiento de las normas internacionales en materia
moreover , although i am not opposed to shipowners registering their vessels in their country of choice , i believe	además , si bien no me opongo a que los propietarios de buques los registren en el país que prefieran
rather than banning flags of convenience , which would violate the right of every sovereign state to have a merchant	en lugar de prohibir los pabellones de conveniencia , lo que violaría el derecho de todo estado soberano a contar
i sincerely hope that , particularly during the french presidency later this year , the commission and the council will	espero sinceramente que , en particular durante la presidencia francesa en la segunda mitad de este año , la comisión
mr president , it feels quite strange to be standing here again today , as i have been doing at	señor presidente , casi parece increíble que volvamos a encontrarnos reunidos aquí , tal como se ha repetido regularmente desde
the victims are waiting outside .	afuera esperan los afectados .
they want answers .	ellos desean recibir respuestas .
they do not want any more promises that we then fail to keep , or to see any efforts that	no quieren más promesas que luego no se cumplen , no quieren más trabajos que luego se transponen .
the citizens are right to ask : `` do our regions now count amongst those which are lost forever ?	la población se pregunta con razón : ¿nuestras regiones van a engrosar ahora el grupo de las definitivamente condenadas ?
who will provide us with new jobs ?	¿quién nos va a dar un nuevo empleo ?
when will those responsible at last understand that sparing resources is not something we do for fun ; nor is	¿cuándo comprenderán por fin los causantes del desastre que la protección de los recursos naturales no es una actividad de
that is why i welcome mrs palacio ' s action plan with open arms .	por esto , señora palacio , yo acojo con gran satisfacción su plan de trabajo .
it is equally important to note that `` prevention is better than cure '' .	también esto es importante . prevenir es más importante que curar .
but there is an art to that as well .	pero es necesario poder hacer también esto último .
deploying the german multipurpose ship `` neuwerk '' - it is right outside my front door in cuxhaven - entailed	la intervención del buque polivalente alemán neuwerk -está amarrado justo delante de mi casa en cuxhaven- fue un rápido gesto
we are particularly in the debt of those who undertook the difficult deployment of all their crew .	debemos expresar nuestro agradecimiento a toda la tripulación por su difícil misión .
valuable experiences were gained , and also the knowledge that we can not master such environmental disasters using state-of-the-art technology	se hizo un valioso acopio de experiencias , pero también se constató que incluso las más modernas técnicas no bastan
we are therefore right to demand improved controls , sanctions and preventive measures .	por esto , con toda la razón , pedimos controles , sanciones y medidas de prevención más adecuados .
i have been fighting for a european environmental coastguard service for almost ten years , here in parliament .	yo vengo luchando desde hace casi diez años desde esta asamblea a favor de la creación de una guardia costera
the issue is as topical as it was before .	el tema conserva toda su actualidad .
furthermore , i will not withhold my support but will endeavour , alongside my fellow meps , to bring about	por mi parte , no voy a escatimar en adelante mi apoyo , sino que me propongo colaborar con otros
mr president , firstly i would like to express my very sincere thanks , not only for the initiatives of	señor presidente , en primer lugar quiero agradecer muy sinceramente no sólo las iniciativas de distintos grupos , de la
before the end of march , i propose to present a communication in which i will possibly present legislative texts	me propongo presentar antes de que termine el mes de marzo una comunicación y en ella es posible que ya
i would like to tell you that , in fact , it is not just an environmental problem - it	quiero decirles que , efectivamente , no se trata sólo de un problema medioambiental ; es un problema medioambiental importantísimo
they are environmentally sensitive areas , but they are also sensitive from the point of view of social development and	y por eso tenemos que tener un especial cuidado para evitar , en la medida de lo posible , que
mrs roth-behrendt said that nothing had ever been done .	decía la sra . roth-behrendt que nunca se había hecho nada .
in fact , i believe that things have been done by the commission , but there is still more to	yo creo que sí se han hecho cosas antes en la comisión , pero hay que hacer todavía más .
this was demonstrated by the americans who , after the exxon valdez disaster , within one year , adopted enormously	y la prueba es que los norteamericanos , después del exxon valdez , en un año sacaron una legislación ,
in europe , after the amoco cadiz , or the urquiola on the spanish coast , in 1976 , or	en europa , después del amoko cadiz , o del urquiola en las costas españolas , en el año 1976
during these years , the emphasis has mainly been on the safety of passenger transport .	se ha insistido , además , fundamentalmente , en estos años pasados , en la seguridad del transporte de pasajeros
that is the reality .	esta es la realidad .
in my opinion , we now have to make a significant and urgent effort to confront new problems , also	en mi opinión , hay que hacer ahora un esfuerzo importantísimo y urgente por enfrentarse a nuevos problemas , derivados
i have referred to a series of issues which i will lay out in more detail , if you wish	yo , señorías , me he referido a una serie de cuestiones que detallaremos con más precisión , si quieren
my intention is - and i insist - for us to begin discussions after the end of march , also	mi pretensión es -insisto- que a partir de finales de marzo empecemos a discutir , coincidiendo además con un consejo
flags of convenience are one problem , but are not the only one .	los pabellones de conveniencia son un problema , pero no es el único .
the romanian flag is not a flag of convenience but , nevertheless , that country has an extremely high number	rumania no es un pabellón de conveniencia y , sin embargo , tiene un altísimo índice de incidencias cuando se
malta and cyprus have asked to join the community .	malta y chipre han pedido su ingreso en la comunidad .
we must be demanding on this issue and we are negotiating to this end .	hay que ser exigentes en esta cuestión y sobre ello se está negociando .
this will oblige us to reconsider the registers in the european union , and to deal with the notorious problem	eso nos va a obligar a reconsiderar los registros de la unión europea , y a plantear el famoso problema
i believe that this will be difficult but , in any event , we should carry out a review of	yo creo que eso será difícil pero , en cualquier caso , debe llevarse a cabo una revisión de lo
as for the inspections , very much a key question , the first thing we have to consider is how	en cuanto a los controles , cuestión clave en gran medida , lo primero que hay que ver es cómo
we already have legislation .	tenemos ya una legislación .
according to the information which the commission services have given me , this legislation is not adequately applied in many	según la información que me suministran los servicios de la comisión , esta legislación no se aplica suficientemente en muchos
the problem is not that only 25 % are inspected , but rather how we select , how we find	el problema no es que se controle sólo un 25 % , sino cómo se seleccionan , cómo se buscan
unfortunately , the 25 % often consists of flags which are expected to fulfil the requirements : in this way	lamentablemente muchas veces se cubre el 25 % con pabellones de los que se sabe que van a cumplir todos
therefore , more than making amendments , we will have to implement measures to control what is already being done	por lo tanto , más que modificar , habrá que tomar medidas para controlar lo que ya se hace ,
and that is why we have solas ( the international convention for the safety of life at sea ) and	y ahí están solas ( convenio sobre la seguridad de la vida humana en el mar ) y marpol (
with regard to the question of union inspectors , i believe that the principle of subsidiarity justifies the idea that	en cuanto a la cuestión de los inspectores de la unión , creo que el principio de subsidiariedad justifica permitir
lastly , i would like to stress the issue of liability .	por último , quisiera insistir en la cuestión de la responsabilidad .
not only in terms of maximum sums insured , which i believe should be similar to those in the united	no sólo en los importes máximos , que yo creo que deben ser parecidos a los norteamericanos .
we have set a figure of usd 180 million ; in the united states they are talking about usd 1	nosotros fijamos 180 millones de dólares ; en estados unidos están hablando de 1.000 millones de dólares de techo máximo
i believe we have to increase the current amount so as to move closer to levels in the united states	creo que hay que aumentar la cantidad actual , acercarnos a niveles parecidos a los de estados unidos , pero
unless we require that the owners of the cargo be held liable , we will never , in my opinion	mientras no se exija responsabilidad a los dueños de la carga , señorías , no se terminarán de arreglar ,
i will end now . i will not expand further .	termino , no me voy a extender más .
we will have the opportunity to do so on other occasions .	tendremos ocasión de hacerlo en otros momentos .
but , obviously , as some speakers have said - and i thank all of you for your totally positive	pero , obviamente , como algún orador ha dicho -y les agradezco a todos sus intervenciones totalmente positivas y pertinentes-
as for me , i can say , after having debated it in the college of commissioners , that the	por mi parte , puedo decir , después de haberlo debatido en el colegio de comisarios , que la comisión
the political will of this parliament is required - and i can see that i can count on this -	hace falta la voluntad política de este parlamento -y compruebo que cuento con ella- como también la del consejo de
thank you very much , commissioner .	muchas gracias , señora comisaria .
we have taken good note of your intentions .	hemos tomado buena nota de su disponibilidad .
i have received 8 motions for resolution , in accordance with rule 37 ( 2 ) , to close the	he recibido 8 propuestas de resolución , de conformidad con el apartado 2 del artículo 37 del reglamento , para
the debate is closed .	el debate queda cerrado .
the vote will take place on thursday at 12.00 p.m .	la votación tendrá lugar el jueves a las 12 horas .
storms in europe	tempestades en europa
the next item is the commission statement on the storms in europe .	de conformidad con el orden del día , se procede a la declaración de la comisión sobre las tempestades en
mr barnier has the floor on behalf of the commission .	tiene la palabra , en nombre de la comisión , el sr. barnier .
commissioner , i would like to thank you for the ideas you have put forward , particularly on the very	señor comisario , quiero agradecerle las palabras que ha pronunciado , en particular por las propuestas totalmente concretas sobre los
in the days immediately following this terrible storm i wrote to you myself with a request for you to ask	personalmente , en los primeros días de después de esa terrible tormenta , le envié una carta para pedirle que
i think that you must have done so , because you have not mentioned it .	creo que se ha hecho , porque no se ha referido usted a ello .
in fact , we all know that anyone who does not live within the perimeter of an objective 2 region	en efecto , todos sabemos que , si no se forma parte de un perímetro del objetivo 2 , se
we should therefore put this situation right immediately .	así , pues , más vale remediar en seguida ese problema .
you also know that this will not only be a short-term problem , but also a medium and long-term one	también sabe usted que no se plantea el problema tan sólo a corto plazo , sino también a medio y
let me explain .	me explico .
